主索引,資料庫名,方案類別,線上收費
4,太子,3,False
6,成峰,3,False
7,百發,3,False
10,保東,3,False
17,義鋒,3,False
18,聯福,3,False
19,台釱,3,False
30,環球,3,1
31,聯合,3,False
35,感動,3,False
37,六六屋,3,False
39,怡呈,3,False
42,佳展,3,False
43,達文西,3,False
45,超訊,3,False
48,誠訊,3,False
51,泛都,3,False
59,辰銘,3,False
60,韡碩,3,False
67,正欣,3,1
72,桃鶯,3,False
74,天亞,3,False
76,翔生,3,False
78,src2008,0,False
79,遠寬,3,False
82,馹灃,3,1
83,威勝,3,False
87,齊越,3,False
90,航聯,3,False
95,祺申,3,1
98,POSConfig,0,False
99,摩斯,3,False
100,富亞士,3,False
101,歐肯得,2,1
104,鉅廷,3,1
109,POSV3測試專用,0,1
110,金馬講,3,False
116,遠輝,3,False
123,邦喬,3,False
127,卓盛,2,False
129,星威,2,False
136,全葳,0,False
140,光速,2,False
141,艾瑪,2,1
142,成翊,2,False
143,Demo用,0,1
145,家智,0,False
148,祐祐,2,False
149,丞品,2,False
155,捷迅,2,False
159,大不同,0,False
164,均威,0,False
172,閎海,2,False
175,肝鐵仁,0,False
178,翰諾,0,1
181,太和,2,False
183,關廟,0,False
185,禾創,0,1
190,海悅,0,False
194,台哥大白河,0,False
206,昊星,0,False
209,君品,0,False
221,同音,0,False
223,兆洋,0,False
241,昌煜洋,0,False
242,天成,0,False
243,立亞,0,False
250,飛龍,0,1
253,金竑,0,1
257,鑫麗琪,0,1
259,同興,0,False
261,睿閎,0,1
263,新錩,0,1
266,乙希,0,1
268,有支手機,0,1
277,曄成,0,1
280,JH手機快修,0,1
281,紳鴻,0,1
282,宏記,0,1
293,永騰,0,1
298,豐宏,0,1
302,鈞凱勝,0,1
304,妡球,0,1
305,首麗,0,1
306,森昱,0,1
307,浩瀚,0,1
311,雲端,0,1
312,水里遠傳,0,1
313,法博,0,1
315,敦富,0,1
318,久旺,0,1
325,杉杉,0,1
328,冠均,0,1
334,布魯斯,0,1
336,丞澤,0,1
337,靈思,0,1
338,膜匠,0,1
341,坤和,0,1
342,翔翔,0,1
348,合盈,0,1
352,鑫譽,0,1
353,希佴,0,1
355,欣沅,0,1
356,零壹通訊行,0,1
359,銘小向,0,1
360,誠恩,0,1
361,飛騰,0,1
362,千訊,0,1
363,大欣,0,1
364,圓圈,0,False
365,樂瘋玩,0,1
367,霓德,0,1
370,馬尼,0,1
371,永立,0,1
375,昇沅,0,1
379,昱昇,0,1
380,鉅銓,0,1
383,健權,0,1
384,光達,0,1
385,巨易,0,1
386,起點,0,1
388,柏叡2,0,1
390,綸,0,1
391,澄虹,0,1
392,極速,0,1
394,灝瑞,0,1
395,鑫盛,0,1
396,儒億,0,1
397,奇亞,0,1
398,尚吟,0,1
399,宇新,0,1
401,恆穩,0,1
402,瑞溪,0,1
403,巨聿,0,1
404,亞玖弟,0,1
405,佳遠,0,1
406,放鑫,0,1
411,維星,0,1
412,禾亞,0,1
413,拾易,0,1
414,胡思可,0,1
415,葳遠,0,1
416,祺升,0,1
417,均怡,0,1
418,艾比,0,1
419,柏瑜,0,1
