company_name,branch_count,license_count,need_payment,payment_plan
太子,2,0,1,6
成峰,2,0,1,6
百發,1,0,1,6
保東,2,0,1,6
義鋒,3,0,1,6
聯福,19,0,1,6
台釱,6,0,1,6
聯合,5,0,1,6
感動,19,0,1,6
六六屋,7,0,1,6
怡呈,6,0,1,6
佳展,6,0,1,6
達文西,5,0,1,6
超訊,8,0,1,6
誠訊,9,0,1,6
泛都,5,0,1,6
辰銘,3,0,1,6
桃鶯,9,0,1,6
翔生,1,0,1,6
遠寬,5,0,1,6
威勝,7,0,1,6
齊越,2,0,1,6
航聯,2,0,1,6
摩斯,29,0,1,6
富亞士,1,0,1,6
金馬講,9,0,1,6
遠輝,1,0,1,6
邦喬,4,0,1,6
卓盛,32,0,1,6
星威,3,0,1,6
全葳,1,0,1,6
光速,2,0,1,6
艾瑪,2,0,1,6
成翊,1,0,1,6
家智,2,0,1,6
祐祐,1,0,1,6
丞品,1,0,1,6
捷迅,1,0,1,6
均威,2,0,1,6
太和,2,0,1,6
關廟,2,0,1,6
海悅,2,0,1,6
台哥大白河,1,0,1,6
昊星,3,0,1,6
君品,2,0,1,6
同音,2,0,1,6
兆洋,3,0,1,6
天成,5,0,1,6
立亞,6,0,1,6
鑫麗琪,2,0,1,6
同興,21,0,1,6
睿閎,2,0,1,6
有支手機,3,0,1,1
紳鴻,1,0,1,1
豐宏,5,-2,1,6
杉杉,1,0,1,6
布魯斯,2,0,1,1
膜匠,3,2,1,6
圓圈,8,7,1,6
馬尼,12,9,1,6
永立,3,2,1,6
綸,1,0,1,6
澄虹,1,0,1,6
極速,1,0,1,6
恆穩,1,-1,1,6
祺升,2,0,1,6
均怡,1,0,1,6
艾比,1,0,1,6
