客戶編號,公司名稱,POS點數,有使用的分店,可使用月份,預計到期日,行政管理
401,37恆穩,-1,1,-1,2025/06/30,0
390,2綸,0,1,0,2025/07/31,0
253,2金竑,2,3,0,2025/07/31,0
341,37坤和,2,3,0,2025/07/31,0
334,37布魯斯,0,2,0,2025/07/31,0
325,37杉杉,0,1,0,2025/07/31,0
417,3均怡,0,0,0,2025/07/31,0
391,3澄虹,0,1,0,2025/07/31,0
416,3祺升,0,2,0,2025/07/31,0
338,3膜匠,2,3,0,2025/07/31,0
392,4極速,0,1,0,2025/07/31,0
418,4艾比,0,1,0,2025/07/31,0
141,4艾瑪,0,1,0,2025/07/31,0
257,5鑫麗琪,0,1,0,2025/07/31,0
370,5馬尼,9,11,0,2025/07/31,0
268,7有支手機,0,2,0,2025/07/31,0
261,7睿閎,0,1,0,2025/07/31,0
281,7紳鴻,0,1,0,2025/07/31,0
298,7豐宏,-2,5,0,2025/07/31,0
394,2灝瑞,2,2,1,2025/08/31,0
359,2銘小向,1,1,1,2025/08/31,0
348,39合盈,2,2,1,2025/08/31,0
280,3JH手機快修,1,1,1,2025/08/31,0
306,3森昱,1,1,1,2025/08/31,0
380,3鉅銓,1,1,1,2025/08/31,0
405,5佳遠,1,1,1,2025/08/31,0
406,5放鑫,1,1,1,2025/08/31,0
419,5柏瑜,1,1,1,2025/08/31,0
104,5鉅廷,8,5,1,2025/08/31,1
403,7巨聿,2,2,1,2025/08/31,0
315,7敦富,1,1,1,2025/08/31,0
371,7永立,2,2,1,2025/08/31,0
352,7鑫譽,1,1,1,2025/08/31,0
328,2冠均,2,1,2,2025/09/30,0
362,2千訊,2,1,2,2025/09/30,0
304,2妡球,4,2,2,2025/09/30,0
293,37永騰,18,6,3,2025/09/30,1
307,37浩瀚,2,1,2,2025/09/30,0
342,37翔翔,4,2,2,2025/09/30,0
30,38環球,2,1,2,2025/09/30,1
360,38誠恩,2,1,2,2025/09/30,0
67,39正欣,9,4,2,2025/09/30,1
318,3久旺,2,1,2,2025/09/30,0
282,3宏記,2,1,2,2025/09/30,0
311,3雲端,5,2,2,2025/09/30,0
250,3飛龍,2,1,2,2025/09/30,0
312,49水里遠傳,5,2,2,2025/09/30,0
367,4霓德,2,1,2,2025/09/30,0
337,4靈思,6,3,2,2025/09/30,0
178,5翰諾,2,1,2,2025/09/30,0
383,2健權,3,1,3,2025/10/31,0
353,2希佴,6,2,3,2025/10/31,0
384,37光達,3,1,3,2025/10/31,0
363,39大欣,6,2,3,2025/10/31,0
404,3亞玖弟,3,1,3,2025/10/31,0
397,3奇亞,6,2,3,2025/10/31,0
361,3飛騰,9,3,3,2025/10/31,0
277,2曄成,4,1,4,2025/11/30,0
302,2鈞凱勝,8,2,4,2025/11/30,0
305,2首麗,50,12,4,2025/11/30,0
379,37昱昇,4,1,4,2025/11/30,0
396,3儒億,14,3,4,2025/11/30,0
355,3欣沅,4,1,4,2025/11/30,0
386,3起點,4,1,4,2025/11/30,0
101,4歐肯得,4,1,4,2025/11/30,0
385,5巨易,4,1,4,2025/11/30,0
263,2新錩,5,1,5,2025/12/31,0
375,2昇沅,5,1,5,2025/12/31,0
365,2樂瘋玩,5,1,5,2025/12/31,0
185,2禾創,5,1,5,2025/12/31,0
415,2葳遠,5,1,5,2025/12/31,0
388,3柏叡2,5,1,5,2025/12/31,0
402,3瑞溪,10,2,5,2025/12/31,0
413,4拾易,5,1,5,2025/12/31,0
414,4胡思可,5,1,5,2025/12/31,0
266,37乙希,30,5,6,2026/01/31,0
421,3昶詠,6,1,6,2026/01/31,0
95,3祺申,19,3,6,2026/01/31,0
395,35鑫盛,30,4,7,2026/02/28,0
82,3馹灃,14,2,7,2026/02/28,0
313,5法博,24,3,8,2026/03/31,0
336,37丞澤,45,5,9,2026/04/30,0
356,4零壹通訊行,63,7,9,2026/04/30,0
398,39尚吟,30,3,10,2026/05/31,0
399,4宇新,84,6,14,2026/08/30,0
143,0Demo用,65,0,65,2030/12/31,0
109,0-POSV3測試用,289,2,144,2037/07/31,1
